id;dish_name;calory;proteins;fats;carbo;type;description;coast;restarant_id
94;Strips 5 pcs. sharp;413;31;14.5;22;Snack;;7.4;2
95;Strips 2 pcs. sharp;160;12;6;9;Snack;;3.7;2
96;Strips 3 pcs. sharp;235;19;9;13.5;Snack;;4.7;2
97;Chicken wings 3 pieces;261;13;17;13;Snack;;4.1;2
98;Chicken wings 5 pieces;435;23;28;21;Snack;;7.5;2
99;Chicken wings 8 pieces;687;36;45;33;Snack;;9.9;2
100;Caesar salad with sauce;345;22.4;19.4;18.7;Snack;;5.1;2
101;French fries  small;210;2.8;11;21.4;Snack;;2.6;2
102;French fries standard;345;4.7;19;37;Snack;;3.3;2
103;Free Basket;670;7;31;61;Snack;;4.9;2
104;Ice cream (cone);130;4;3;22;Dessert;;1.7;2
105;Cheesecake with topping and raisins;310;8;14;39;Dessert;;3.1;2
106;Cherry pie;255;2;12;32;Dessert;;2.5;2
107;Americano;81;0.8;1.9;16;Drink;;3.7;2
108;Cappuccino;74;3.5;4;6;Drink;;3.7;2
109;Milk Shake;165;3;4;27;Dessert;;3.2;2
110;French fries  small;210;3;11;21.4;Snack;;2.6;2
111;French fries standard;345;5.2;19;37;Snack;;3.5;2
